feature,coef,std_err,t,p_value
const,12.20442058569738,0.0038547264178635443,3166.0925478757053,0.0
r,-154.01132575995365,0.027810438940183604,-5537.896258711005,0.0
g,96.14823798524608,0.04275944638738409,2248.5847247455017,0.0
b,27.54384600058741,0.03847976083956338,715.8008625736549,0.0
elevation_m,144.8710464284695,0.0299303019776878,4840.280146069585,0.0
elevation_m_deg2,-266.7542226381769,0.06828898454518997,-3906.2555171200897,0.0
